Nom,Métier,Téléphone,Site Web,Email,Adresse,SIRET,Latitude,Longitude
"K par K","window_construction","","","","14","",49.2296362,4.0804557
"SCHANUS","roofer","","","","4 Rue André F.J. Rieg","",49.2309497,4.0811044
"HUSSON","roofer","+33 3 26 02 01 22","","couverture@husson.biz","5 Rue des Docks Rémois 51450 Bétheny","",49.2724338,4.0452742
"AJM Couverture","roofer","+33 3 26 04 41 53","https://www.ajmcouverture.fr/","ajmcouverture@free.fr","1 Avenue des Chenevières 51370 Saint-Brice-Courcelles","",49.2674419,3.9838777
"Arkéa","window_construction","+33 9 75 45 57 76","","","","",49.2518575,4.0457458
"MARCELOT - SUDOUR","roofer","","","","2 Rue de la Fosse Cochard","",49.2683808,3.9942757
"Victor Astier","roofer","+33 3 26 04 82 60","","","4 Rue du Château Sénart 51370 Saint-Brice-Courcelles","",49.2697934,3.9940175
"Arnaud Rénovation Dépannage","roofer","+33 6 24 29 31 54","","","","",49.2710054,3.9924184
"BAT-Conseil","roofer","","","","3 Rue des Verriats 51500 Champfleury","",49.1935924,4.0098315
"Pascal Larue","roofer","+33 3 26 48 09 89","","","32 Route de Reims 51170 Fismes","",49.3074996,3.7017253
"LCM Tryba","window_construction","","","","","",49.0338414,3.3907014
"HDH","roofer","","","","","",48.244855,5.311154
"BCS France - Reims","roofer","+33 3 26 02 99 50","https://www.bcsfrance.com/","","","39029979000332",49.2404174,4.0932564
"Attila","roofer","+33 3 73 45 03 57","","","","",48.1915692,3.3195611
"Lallemant Diffusion","window_construction","","","","","",,
"A. Boëlle","roofer","","https://www.boelle-couverture.com/","","1","31888111700028",,
"SRK La Serrurerie Rémoise","window_construction","","https://www.srkfenetre.fr/index.php","","17","42511559900010",,
"SARL ATEC","roofer","+33326211342","https://www.atec-etancheite-51.com/index.php","","12 Rue Clément Ader 51470 Saint-Memmie","",,
