Métier,Nom,Dirigeant,Adresse,Code Postal,Ville,SIREN,SIRET,Date Création,Effectif,RGE
Couvreurs,"GURKAN GULDIKEN","GURKAN SERIF GULDIKEN","5 RUE DE LA POTASSE 68850 STAFFELFELDEN",68850,STAFFELFELDEN,418708608,41870860800025,1998-04-24,NN,Non
Couvreurs,"BENOIT CRETOL","BENOIT JEAN-PIERRE A CRETOL","10140 JESSAINS",10140,JESSAINS,403178072,40317807200043,1994-08-01,NN,Non
Couvreurs,"THOMAS","LIONEL JACOPIN (JACOPIN)","4 CHEMIN DE PAGUE 55140 VAUCOULEURS",55140,VAUCOULEURS,314705096,31470509600043,1964-01-01,12,Oui
Couvreurs,"PATRICK CONTE","PATRICK PAUL CONTE (CONTE)","23 ROUTE DE SPIEMONT 88640 CHAMPDRAY",88640,CHAMPDRAY,308552603,30855260300075,2000-01-04,NN,Non
Couvreurs,"COUVRE-TOIT","IDRIS KAHRAMAN (KAHRAMAN)","ZONE ARTISANALE DU HAUT SERROIR 54690 LAY-SAINT-CHRISTOPHE",54690,LAY-SAINT-CHRISTOPHE,808468904,80846890400020,2014-11-22,11,Oui
Couvreurs,"SERVICES TOITURES","ADIL AYAS (AYAS)","2 RUE HENRI BERGSON 67200 STRASBOURG",67200,STRASBOURG,799136460,79913646000026,2013-12-02,01,Non
Couvreurs,"TOIT MON TOIT","LAURENT PHAN (PHAN)","5 RUE DU VIGNOBLE 68720 ZILLISHEIM",68720,ZILLISHEIM,800331308,80033130800034,2013-10-10,02,Oui
Couvreurs,"WILHELM","","12 RUE DES VERGERS 57405 HOMMARTING",57405,HOMMARTING,810387209,81038720900010,2015-03-07,NN,Non
Couvreurs,"ERIC LEBEAUX","ERIC LEBEAUX (LEBEAUX)","RUE DE LA CROIX DE MISSION 51380 VERZY",51380,VERZY,387478902,38747890200035,1992-06-01,01,Non
Couvreurs,"EISENBARTH DEPANNAGE","CHRISTOPHE OSWALD","2 RUE DE LA TINCHOTTE 57645 RETONFEY",57645,RETONFEY,817631799,81763179900019,2016-01-01,NN,Non
Couvreurs,"MARTREUIL PERE ET FILS","ALEXANDRE MARTREUIL (MARTREUIL)","52 LA POMMERAIE 57420 COIN-LES-CUVRY",57420,COIN-LES-CUVRY,824497432,82449743200016,2016-12-14,11,Oui
Couvreurs,"ENTREPRISE GALOPIN","","46 RUE JACQUES MUGNIER 68200 MULHOUSE",68200,MULHOUSE,337572119,33757211900036,1986-04-16,12,Oui
Couvreurs,"DENIS RENAUDIN","DENIS ALBERT RENAUDIN (RENAUDIN)","5 GRAND RUE 08430 YVERNAUMONT",08430,YVERNAUMONT,388732422,38873242200026,1992-10-05,NN,Non
Couvreurs,"KLEIN PERE & FILS","MARCEL RENE KLEIN","2 RUE DU PINOT MEUNIER 51530 MARDEUIL",51530,MARDEUIL,319099552,31909955200048,1980-06-01,NN,Oui
Couvreurs,"BRUNO CHARPENTIER","BRUNO GEORGES GASTON CHARPENTIER","12 RUE DES VIGNOTTES 57530 GLATIGNY",57530,GLATIGNY,340438886,34043888600020,1987-03-02,00,Non
Couvreurs,"TOITURES ANDRE","ROGER ANDRE (ANDRE)","15 RUE EDELBLOUDE 57260 DIEUZE",57260,DIEUZE,349603530,34960353000032,1989-02-10,NN,Non
Couvreurs,"SARL FERREIRA GOMES","JEAN PAUL FERREIRA (FERREIRA)","39 RUE DE LORRAINE 08700 NOUZONVILLE",08700,NOUZONVILLE,440491355,44049135500010,2002-01-09,NN,Non
Couvreurs,"BRUNEL COUVERTURE","WILFRID BRUNEL (BRUNEL)","5 RUE DES GRANGES 51270 BAYE",51270,BAYE,478888985,47888898500023,2004-09-24,01,Oui
Couvreurs,"FRITSCH COUVERTURES","CHRISTOPHE FRITSCH (FRITSCH)","24 RUE DE L'INDUSTRIE 67400 ILLKIRCH-GRAFFENSTADEN",67400,ILLKIRCH-GRAFFENSTADEN,449191097,44919109700020,2003-07-01,NN,Non
Couvreurs,"PALAZZO","BENOIT HENRI PALAZZO","ROUTE DE BELFORT 55320 GENICOURT-SUR-MEUSE",55320,GENICOURT-SUR-MEUSE,443894985,44389498500011,2002-10-01,12,Oui
Couvreurs,"SARL BALLOUARD PERE ET FILS","FREDERIC BALLOUARD (BALLOUARD)","920 LA HAUTE MANDRAY 88650 MANDRAY",88650,MANDRAY,452940992,45294099200038,2004-01-01,02,Oui
Couvreurs,"OLIVIER FRANCOIS","OLIVIER ANDRE FRANCOIS (FRANCOIS)","RUE DE LA MOINERIE 08270 SERY",08270,SERY,453956872,45395687200015,2004-07-01,NN,Non
Couvreurs,"CHEMI'NETTE","CARMEN PAYAN (EHRHARDT)","Z.A. RUE DES ALPES 68127 NIEDERHERGHEIM",68127,NIEDERHERGHEIM,383038981,38303898100031,1991-09-16,12,Oui
Couvreurs,"ANDRE FRERES COUVERTURE","CHRISTOPHE ANDRE (ANDRE)","MONTESSON BARRIERE DE MONTESSON 52500 PIERREMONT-SUR-AMANCE",52500,PIERREMONT-SUR-AMANCE,505002915,50500291500013,2008-06-24,01,Non
Couvreurs,"ETTEC - ENTRETIEN DE TOITURES ET TECHNIQUES D'ETANCHEITE DES CONSTRUCTIONS (ETTEC)","ALEXANDRE NAGEL (NAGEL)","9 RUE DES CLAIRONS 54210 SAINT-NICOLAS-DE-PORT",54210,SAINT-NICOLAS-DE-PORT,488776659,48877665900028,2006-03-01,11,Oui
Couvreurs,"LUC KOHLER (LUC KOHLER)","LUC GEORGES JOSEPH KOHLER (KOHLER)","6 RUE PRINCIPALE 68420 HERRLISHEIM-PRES-COLMAR",68420,HERRLISHEIM-PRES-COLMAR,489056465,48905646500029,2006-02-01,NN,Non
Couvreurs,"ISOLACIER","BUJAR MORINA (MORINA)","6 OLICHAMP 88340 LE VAL-D'AJOL",88340,LE VAL-D'AJOL,489948844,48994884400019,2005-10-01,12,Non
Couvreurs,"GUR BIC","SATILMIS GUR (GUR)","12 ALLEE NELSON MANDELA 54210 SAINT-NICOLAS-DE-PORT",54210,SAINT-NICOLAS-DE-PORT,834094278,83409427800035,2018-01-01,02,Non
Couvreurs,"LORRAIN TOITURE","GREGORY JEAN GEORGES LORRAIN (LORRAIN)","45 RUE BASSE 55100 BELLERAY",55100,BELLERAY,849649363,84964936300025,2019-04-01,02,Non
Couvreurs,"PARIS/DABROWSKI","BERTRAND JEANNY DABKOWSKI (DABKOWSKI)","23 B RUE JOSEPH ANDRADE 10160 AIX-VILLEMAUR-PALIS",10160,AIX-VILLEMAUR-PALIS,898694443,89869444300018,2021-04-27,00,Oui
Couvreurs,"MB RENOVATIONS","MOURAD BADOUCH (BADOUCH)","138 ROUTE BURKEL 67400 ILLKIRCH-GRAFFENSTADEN",67400,ILLKIRCH-GRAFFENSTADEN,893891606,89389160600020,2021-01-25,NN,Non
Couvreurs,"ENERGIE COUVERTURE","PHILIPPE FERNAND LOUIS LECLER (LECLER)","FERME DE SAINT BRICE 08390 BAIRON ET SES ENVIRONS",08390,BAIRON ET SES ENVIRONS,518075791,51807579100039,2009-10-26,02,Non
Couvreurs,"ETUDE SERVICE TOITURES","ALAIN SCHILLING (SCHILLING)","4 RUE DE RUELISHEIM 68840 PULVERSHEIM",68840,PULVERSHEIM,518222914,51822291400013,2009-01-01,02,Oui
Couvreurs,"FREDDY BERGER-DELAVACHE (DELAVACHE) (DMS TOITURE)","FREDDY BERGER-DELAVACHE (DELAVACHE)","17 CHEMIN DU BUIS 68720 ILLFURTH",68720,ILLFURTH,521207357,52120735700034,2010-03-22,NN,Non
Couvreurs,"A-F REPARE ET ENTRETIEN","ALAIN FRIED","4 A RUE DE LA DORDOGNE 67150 ERSTEIN",67150,ERSTEIN,501317804,50131780400018,2008-01-01,NN,Non
Couvreurs,"BARTOLO MARIO","MARIO BARTOLO (BARTOLO)","3 B RUE PRINCIPALE 67370 TRUCHTERSHEIM",67370,TRUCHTERSHEIM,501908057,50190805700018,2008-01-01,NN,Non
Couvreurs,"NOVOPRO ALSACE","CLET DEMUTH (DEMUTH)","1 RUE DES FRERES LUMIERE 67201 ECKBOLSHEIM",67201,ECKBOLSHEIM,514508399,51450839900011,2009-10-01,NN,Non
Couvreurs,"THOMAS DORSCHNER","THOMAS DORSCHNER (DORSCHNER)","14 ROUTE DE LA PETITE-PIERRE 67340 WEITERSWILLER",67340,WEITERSWILLER,515385912,51538591200040,2009-11-02,NN,Non
Couvreurs,"PK CONCEPT","PASCAL KERTZINGER (KERTZINGER)","4 RUE DES BOSQUETS 67580 FORSTHEIM",67580,FORSTHEIM,531469716,53146971600017,2011-03-28,NN,Non
Couvreurs,"MICKAEL HOLDERBAUM","MICKAEL EUGENE JEAN HOLDERBAUM (HOLDERBAUM)","RATTACHEMENT MAIRIE 5 RUE VICTOR HUGO 57240 NILVANGE",57240,NILVANGE,495110678,49511067800010,2007-03-27,NN,Non
Couvreurs,"DAVID VELLA","DAVID VELLA","79 RUE DES CHENES 67170 BRUMATH",67170,BRUMATH,502945835,50294583500010,2008-03-01,NN,Non
Couvreurs,"SARL B ET C","CAROLINE SALIJAJ (GRAVIER)","3 CHEMIN DE PETINCHAMP 88200 SAINT-ETIENNE-LES-REMIREMONT",88200,SAINT-ETIENNE-LES-REMIREMONT,752432526,75243252600024,2012-07-02,03,Non
Couvreurs,"MICHEL TEYSSIER","MICHEL TEYSSIER","128 RUE DES ROMAINS 68200 MULHOUSE",68200,MULHOUSE,534449673,53444967300019,2011-09-05,NN,Non
Couvreurs,"ARTIS NICOLAS","NICOLAS ARTIS (ARTIS)","224 RUE CHARLES DE GAULLE 54770 LAITRE-SOUS-AMANCE",54770,LAITRE-SOUS-AMANCE,794289348,79428934800011,2013-07-04,01,Oui
Couvreurs,"LES TOITURES DU SAINTOIS","HERVE JEAN-BAPTISTE MARC ROUX","3 RUE DU PATIS 54330 GOVILLER",54330,GOVILLER,797391257,79739125700020,2013-10-01,02,Oui
Couvreurs,"RENOV'STYLE","PHILIPPE EHRENBOGEN (EHRENBOGEN)","9 AV DE BRUXELLES 68350 BRUNSTATT-DIDENHEIM",68350,BRUNSTATT-DIDENHEIM,820784619,82078461900026,2016-05-04,NN,Non
Couvreurs,"LG TOITURE (LG TOITURE)","LILIAN DESIRE GRONGNET","31 RUE DE L’HOPITAL AUBAN MOET 51200 EPERNAY",51200,EPERNAY,917627804,91762780400011,2022-08-15,01,Non
Couvreurs,"CR BATIMENT","EKREM PALA (PALA)","24 RUE DES TOURNELLES 51520 RECY",51520,RECY,911852598,91185259800018,2022-03-21,01,Non
Couvreurs,"SOFIAN WERLI (SW TOITURES)","SOFIAN WERLI","4 RUE DU PINOT 67730 CHATENOIS",67730,CHATENOIS,920837929,92083792900024,2022-09-10,NN,Non
Couvreurs,"CIBETANCHE REIMS GRAND-EST","VINCENT FERNAND PLESSY (PLESSY)","ZONE INDUSTRIELLE FARMAN SUD - RUE DIEUDONNE COSTES 51100 REIMS",51100,REIMS,908315955,90831595500017,2021-12-16,11,Non
Couvreurs,"MAXIME FENDER","MAXIME CEDRIC FENDER (FENDER)","(B) 23 RUE ANDRE MALRAUX 67150 ERSTEIN",67150,ERSTEIN,908341803,90834180300017,2021-12-05,NN,Non
Couvreurs,"DEBOURGOGNE COUVERTURE","JEROME DEBOURGOGNE","5 RUE DU GENERAL BAUDOIN 52150 BOURMONT-ENTRE-MEUSE-ET-MOUZON",52150,BOURMONT-ENTRE-MEUSE-ET-MOUZON,941308322,94130832200010,2025-02-24,NN,Non
Couvreurs,"ADRIEN BALTAZART","ADRIEN BALTAZART","41 RUE DE BELLEVILLE 08400 TOGES",08400,TOGES,949729735,94972973500017,2023-04-01,NN,Non
Couvreurs,"LAURENT HARCOURT","LAURENT HARCOURT","GRANDE RUE 10270 FRESNOY-LE-CHATEAU",10270,FRESNOY-LE-CHATEAU,353671803,35367180300016,1990-02-22,NN,Non
Couvreurs,"CHARPENTE GALLAND- FRANCE EQUIPEMENT SECURITE","JANNIC GALLAND (GALLAND)","POLE INDUS TOUL EUROPE SCT A BAT 5113 191 RUE DES ETATS-UNIS 54200 TOUL",54200,TOUL,351291430,35129143000038,1989-05-02,12,Oui
Couvreurs,"CAMILATTO CHARPENTES","EDITH LIMACHER (LIMACHER)","41 RUE DU GAZON 68130 CARSPACH",68130,CARSPACH,340675966,34067596600030,1987-03-16,00,Non
Couvreurs,"VILLEMIN ET FILS","PATRICE VILLEMIN (VILLEMIN)","35 RUE JEAN CLEMENT 88000 CHANTRAINE",88000,CHANTRAINE,331365049,33136504900054,1984-10-03,01,Non
Couvreurs,"TECHNIQ BATIR (TECHNIQ BATIR)","JACKY LOUIS PONCELET","10 RUE DE L'HOPITAL 08700 NOUZONVILLE",08700,NOUZONVILLE,450904131,45090413100049,2003-10-31,NN,Non
Couvreurs,"SARL DL BATIMENTS","JEREMIE DELPORTE (DELPORTE)","RUE DES JARDINS 54800 MARS-LA-TOUR",54800,MARS-LA-TOUR,431584127,43158412700028,2000-04-15,NN,Oui
Couvreurs,"CHRISTIAN FOLKERT","CHRISTIAN FOLKERT","204 AVENUE DE COLMAR 67100 STRASBOURG",67100,STRASBOURG,432140317,43214031700020,2000-05-15,NN,Non
Couvreurs,"ERIC ANDRE","ERIC ANDRE (ANDRE)","QUARTIER SAVIPOL FONDATEURS 8 RUE KONRAD ADENAUER 10300 SAINTE-SAVINE",10300,SAINTE-SAVINE,423719939,42371993900039,1999-07-30,03,Non
Couvreurs,"THIRION ANDRE ET FILS","DAVID THIRION (THIRION)","RUE DU MOULIN 88300 LANDAVILLE",88300,LANDAVILLE,408408995,40840899500012,1996-07-01,02,Oui
Couvreurs,"FREDERIC MONTEVERDI","FREDERIC RENE CHRISTIAN MONTEVERDI","13 B RUE DES CRAIES 10110 CELLES SUR OURCE",10110,CELLES SUR OURCE,484177639,48417763900024,2005-09-19,01,Non
Couvreurs,"S.A.R.L. EUROPE ETANCHE","MARTIAL SCHLITTER (SCHLITTER)","1 RUE DU PRESBYTERE 57130 JUSSY",57130,JUSSY,482006301,48200630100030,2005-05-01,NN,Non
Couvreurs,"KEVIN PAYEN","KEVIN PAYEN (PAYEN)","23 RUE DES PEUPLIERS 67850 HERRLISHEIM",67850,HERRLISHEIM,482443223,48244322300045,2005-05-18,NN,Non
Couvreurs,"JONATHAN ANTONI","JONATHAN ANTONI","2 CHEMIN D’HERBEUVILLE 55210 THILLOT",55210,THILLOT,751205667,75120566700015,2012-04-23,NN,Non
Couvreurs,"MICHAEL PFRIMMER","MICHAEL PFRIMMER (PFRIMMER)","24 RUE DES CHEVALIERS 67600 SELESTAT",67600,SELESTAT,512606609,51260660900018,2009-05-21,NN,Non
Couvreurs,"COUVERTURE ZINGUERIE FESSLER","MICKAEL LAUBER (LAUBER)","19 RUE GEORGES POMPIDOU 68290 WEGSCHEID",68290,WEGSCHEID,527713457,52771345700028,2010-10-01,01,Non
Couvreurs,"ANTHONY TARRES","ANTHONY TARRES","CHEZ L'AMIE 2 RUE PASTEUR 55430 BELLEVILLE-SUR-MEUSE",55430,BELLEVILLE-SUR-MEUSE,514654540,51465454000012,2009-09-07,NN,Non
Couvreurs,"JULIEN MAUGUET","JULIEN MAURICE MAUGUET (MAUGUET)","21 A RTE HAMEAU DU CHATELET HAUT 08150 LE CHATELET-SUR-SORMONNE",08150,LE CHATELET-SUR-SORMONNE,530719913,53071991300010,2011-03-02,NN,Non
Couvreurs,"WILFRID LEICHNER","WILFRID FERNAND CHARLES LEICHNER (LEICHNER)","5 GRANDE RUE 10310 LONGCHAMP-SUR-AUJON",10310,LONGCHAMP-SUR-AUJON,520443938,52044393800029,2010-03-15,01,Non
Couvreurs,"ROMUALD LEGER","ROMUALD LEGER","32 RUE DES FONTAINES 51330 LE CHATELIER",51330,LE CHATELIER,524255817,52425581700016,2010-08-06,NN,Non
Couvreurs,"GUIDEMANN FABIEN","FABIEN GUIDEMANN (GUIDEMANN)","11 RUE PIERRE DE COUBERTIN 68130 ALTKIRCH",68130,ALTKIRCH,525258042,52525804200015,2010-09-01,02,Non
Couvreurs,"FREDERIC AUDRAN","FREDERIC STEPHANE AUDRAN (AUDRAN)","93 RUE DU RIDOUX 08320 VIREUX-WALLERAND",08320,VIREUX-WALLERAND,495033391,49503339100014,2007-03-13,03,Non
Couvreurs,"MORCRETTE ALEXANDRE","ALEXANDRE ROBERT MORCRETTE (MORCRETTE)","DRUISY 2 RUE DU PETIT JARDIN 10160 AIX-VILLEMAUR-PALIS",10160,AIX-VILLEMAUR-PALIS,497692673,49769267300013,2007-04-01,02,Non
Couvreurs,"CRB","REMI CANTONNET (CANTONNET)","14 RUE DU CORGEBIN 52000 CHAUMONT",52000,CHAUMONT,478268196,47826819600019,2004-07-01,NN,Non
Couvreurs,"CONCEPT FENSTER","MUTLU AKDENIZ (AKDENIZ)","42 AVENUE DES VOSGES 67000 STRASBOURG",67000,STRASBOURG,500869334,50086933400028,2007-11-01,NN,Non
Couvreurs,"VION","DIDIER VION (VION)","LANNES 17 RUE BASSE 52260 ROLAMPONT",52260,ROLAMPONT,789804366,78980436600019,2013-01-01,02,Non
Couvreurs,"VUE DU CIEL SARL","JEAN-FRANCOIS ANDRE (ANDRE)","1024 CHEMIN DU GRAND RIEZ 88200 SAINT-ETIENNE-LES-REMIREMONT",88200,SAINT-ETIENNE-LES-REMIREMONT,790311740,79031174000027,2012-12-06,01,Non
Couvreurs,"RENOVATION HABITAT ALSACE (R.H.A.) (R.H.A.)","JEROME LERDUNG (LERDUNG)","5 RUE LOUIS JOSEPH GAY-LUSSAC 68000 COLMAR",68000,COLMAR,790444426,79044442600049,2013-01-01,11,Oui
Couvreurs,"TEJY WESTERMANN - BOCKHORNI (BOCKHORNI) (TB TOITURES)","TEJY WESTERMANN - BOCKHORNI (BOCKHORNI)","RUE PIERRE CREMEL 54410 LANEUVEVILLE-DEVANT-NANCY",54410,LANEUVEVILLE-DEVANT-NANCY,792838690,79283869000024,2013-03-01,NN,Non
Couvreurs,"GF BATIMENTS","MARTIAL NUSSBAUM (NUSSBAUM)","19 RUE DU PANORAMA 68290 MASEVAUX-NIEDERBRUCK",68290,MASEVAUX-NIEDERBRUCK,397742230,39774223000022,1994-05-30,02,Oui
Couvreurs,"COCCORULLO PASCAL & FILS","VALERY FRANCOIS JOSEPH COCCORULLO","15 GRAND'RUE 68230 WIHR-AU-VAL",68230,WIHR-AU-VAL,398846865,39884686500010,1994-10-01,03,Oui
Couvreurs,"FRANCOIS SCHOLTES","FRANCOIS MARCEL MICHEL SCHOLTES (SCHOLTES)","CHEZ MME CIULLA SABRINA 9 RUE DE LA GARE 57330 HETTANGE-GRANDE",57330,HETTANGE-GRANDE,347855017,34785501700088,1988-08-22,NN,Non
Couvreurs,"CLAUDE FRANCOIS (FRANCOIS PERE ET FILS)","CLAUDE DAVID FRANCOIS (FRANCOIS)","CS 32019 15 RUE LAURENT BONNEVAY 54100 NANCY",54100,NANCY,400160743,40016074300052,1995-02-13,NN,Non
Couvreurs,"PATRICK HIRTZLIN SARL","MARC EGGENSPILLER (EGGENSPILLER)","ZONE ARTISANALE 29 RUE D ILLFURTH 68720 SPECHBACH",68720,SPECHBACH,384668463,38466846300035,1992-02-01,03,Oui
Couvreurs,"Y. TOITURES","RIETHMULLER YVES HUMMEL (HUMMEL)","23 RUE DU KATZENBERG 68720 ILLFURTH",68720,ILLFURTH,392032546,39203254600021,1993-07-01,02,Oui
Couvreurs,"ABDEL HADJI","ABDEL MAJID HADJI","3 ALLEE JEAN BOUIN 57140 WOIPPY",57140,WOIPPY,413109380,41310938000050,1997-07-04,NN,Non
Couvreurs,"ENTREPRISE BRIET","FLORIAN PIERRE GERMAIN BRIET","18 RUE NEUVE 10170 LES GRANDES-CHAPELLES",10170,LES GRANDES-CHAPELLES,342605938,34260593800022,1987-09-10,NN,Oui
Couvreurs,"HUBERT WELTER","HUBERT WELTER (WELTER)","20 RUE PAUL DASSENOY 57050 METZ",57050,METZ,325311116,32531111600017,1999-04-13,NN,Non
Couvreurs,"ALAIN OUDIN","ALAIN OUDIN (OUDIN)","VILLE ISSEY 49 RUE DU CARDINAL DE RETZ 55200 EUVILLE",55200,EUVILLE,438546715,43854671500014,2001-08-01,03,Oui
Couvreurs,"FRANCK SCHMITT","FRANCK SCHMITT","35 RUE DE LA CHARTREUSE 57480 RETTEL",57480,RETTEL,440267185,44026718500013,2002-01-02,NN,Non
Couvreurs,"VIGNOLA","JACQUELINE VIGNOLA (DUMONT)","3 CHEMIN DES CHENEVIERES 88170 REMOVILLE",88170,REMOVILLE,434525762,43452576200010,2001-02-01,01,Oui
Couvreurs,"GERALD MARLE","GERALD PATRICE MARLE (MARLE)","5 RUE EMILE ZOLA 51300 VITRY-LE-FRANCOIS",51300,VITRY-LE-FRANCOIS,408575892,40857589200059,1996-08-10,NN,Non
Couvreurs,"SEBASTIEN DUCHANGE","SEBASTIEN DUCHANGE","15 RUE DU HAYER 10190 CHENNEGY",10190,CHENNEGY,985270503,98527050300016,2024-02-01,NN,Non
Couvreurs,"K.B. COUVERTURE","KÉVIN DANIEL SERGE BERWEILLER","7 RUE DU PONT RODINET 51490 EPOYE",51490,EPOYE,994074631,99407463100015,2025-11-17,NN,Non
Couvreurs,"NOEL DEURVEILHER (NOEL COUVERTURE)","NOEL OPTAT LAURET DEURVEILHER (DEURVEILHER)","1 PLACE VICTOR HUGO 51480 DAMERY",51480,DAMERY,847781366,84778136600012,2019-01-26,NN,Non
Couvreurs,"SMGC","SERDAL GUL","3 RUE DE LA FOSSE A LA REINE 10400 NOGENT-SUR-SEINE",10400,NOGENT-SUR-SEINE,820962413,82096241300028,2016-06-01,NN,Non
Couvreurs,"SIMON RENOVATION","THIERRY SIMON (SIMON)","26 RUE DU FAUBOURG 68610 LAUTENBACH",68610,LAUTENBACH,821442878,82144287800020,2016-06-01,01,Non
Couvreurs,"IMAD TRABELSI","IMAD TRABELSI","28 RUE DE LA REOLE 54350 MONT-SAINT-MARTIN",54350,MONT-SAINT-MARTIN,520545179,52054517900019,2010-03-01,NN,Non
Couvreurs,"CBI (CBI CONSTRUCTIONS - CBI NETTOYAGE - CBI METAL)","","4 B RUE JEAN WALGENWITZ 57420 SOLGNE",57420,SOLGNE,520587908,52058790800051,2010-02-01,12,Oui
Couvreurs,"MENDES","ROMAIN JACQUES MENDES","71 AVENUE DE LA REPUBLIQUE 52000 CHAUMONT",52000,CHAUMONT,481939452,48193945200035,2005-04-01,11,Oui
Couvreurs,"BALEZO - GUERET","NICOLAS GUERET (GUERET)","12 RUE AULNOIS 57170 VAXY",57170,VAXY,831909858,83190985800019,2017-09-01,NN,Oui
Couvreurs,"EMMANUEL VERRIERE (ACCRO BAT 51)","EMMANUEL ALEXIS JEAN CHRISTOPHE JEAN-CHRISTOPHE VERRIERE (VERRIERE)","20 RUE DU MARECHAL FOCH 51400 MOURMELON-LE-GRAND",51400,MOURMELON-LE-GRAND,809455256,80945525600028,2014-11-01,NN,Non
Couvreurs,"CHAMPAGNE TRAITEMENT HABITAT","JEAN-LUC BERNARD LEGEE","20 RUE DES PATURES 51470 SAINT-MEMMIE",51470,SAINT-MEMMIE,481656973,48165697300023,2005-04-01,NN,Oui
Couvreurs,"SIMON GUERAULT (SIMON GUERAULT)","SIMON GUERAULT","8 B RUE DU DOCTEUR CARRERE 51310 ESTERNAY",51310,ESTERNAY,877732115,87773211500010,2019-10-02,NN,Non
Couvreurs,"ALEX BARDAGE CHARPENTE COUVERTURE","ALEXANDRE WLODARSKI (WLODARSKI)","9 RUE D’ORLEANS 55130 HOUDELAINCOURT",55130,HOUDELAINCOURT,902851997,90285199700012,2021-09-01,02,Non
Couvreurs,"EURL DEMANGE TOITURE","ALEXANDRE DEMANGE (DEMANGE)","16 B CHEMIN DE LA BASSE TAYE 54110 ROSIERES-AUX-SALINES",54110,ROSIERES-AUX-SALINES,800373037,80037303700012,2014-02-01,NN,Oui
Couvreurs,"MARTIAL HAEFFLINGER","MARTIAL HAEFFLINGER","25 GRAND'RUE 68830 ODEREN",68830,ODEREN,520855677,52085567700016,2010-03-15,NN,Non
Couvreurs,"ETS MARTIN","CEDRIC MARTIN (MARTIN)","1 A RUE DE SARRIXIN 57400 IMLING",57400,IMLING,480262302,48026230200023,2005-01-01,02,Oui
Couvreurs,"LUDOVIC LELAURIN","LUDOVIC LELAURIN","APPT 9 16 ALLEE DE LA CITADELLE 08000 CHARLEVILLE-MEZIERES",08000,CHARLEVILLE-MEZIERES,537541195,53754119500021,2011-08-02,NN,Non
